,,,,,,
#,X(I),Y(X),,,,
Model,ARR_DATA(I),"Integral(6.002,4.946)",,,,
1,0.000,795.038,,,,
2,182.000,5507.159,,,,
3,364.000,1988.118,,,,
4,546.000,4729.669,,,,
5,728.000,4073.825,,,,
6,909.000,4505.620,,,,
7,1091.000,5075.370,,,,
8,1273.000,5532.675,,,,
9,1455.000,5645.481,,,,
10,1637.000,8063.796,,,,
11,1819.000,6909.270,,,,
12,2001.000,7520.913,,,,
13,2183.000,8519.120,,,,
14,2364.000,7910.474,,,,
15,2546.000,8964.258,,,,
16,2728.000,9561.773,,,,
17,2910.000,10078.600,,,,
18,3092.000,11439.581,,,,
19,3274.000,12019.135,,,,
20,3456.000,12828.650,,,,
21,3638.000,13851.856,,,,
22,3820.000,15535.526,,,,
23,4001.000,17059.285,,,,
24,4183.000,18036.529,,,,
25,4365.000,20661.740,,,,
26,4547.000,19785.413,,,,
27,4729.000,20438.307,,,,
28,4911.000,26385.604,,,,
29,5093.000,23724.188,,,,
30,5275.000,22716.006,,,,
31,5456.000,26421.269,,,,
32,5638.000,24398.738,,,,
33,5820.000,24735.355,,,,
34,6002.000,26906.121,,,,
35,6184.000,26425.389,,,,
36,6366.000,30263.499,,,,
37,6548.000,28735.764,,,,
38,6729.000,30248.548,,,,
39,6911.000,31366.778,,,,
40,7093.000,31326.831,,,,
41,7275.000,32842.316,,,,
42,7457.000,34773.021,,,,
43,7639.000,35396.564,,,,
44,7821.000,37338.002,,,,
45,8003.000,39156.032,,,,
46,8185.000,37407.538,,,,
47,8366.000,45228.377,,,,
48,8548.000,40239.165,,,,
49,8730.000,41390.462,,,,
50,8912.000,41260.238,,,,
51,9094.000,45656.829,,,,
52,9276.000,56325.785,,,,
53,9458.000,44456.998,,,,
54,9640.000,60032.208,,,,
55,9821.000,59927.137,,,,
56,10003.000,55848.580,,,,
57,10185.000,60103.099,,,,
58,10367.000,58777.188,,,,
59,10549.000,54187.738,,,,
60,10731.000,56199.904,,,,
