,,
ARR_DATA(I),"Integral(6.095291,5.094422)",
0,14686.7,
181,70019,
363,86994.1,
545,94137.5,
727,91859,
909,92070.5,
1091,95224.1,
1273,94203.7,
1455,94355.9,
1636,97899.6,
1818,95042.1,
2000,90842.1,
2182,91820.1,
2364,92914.9,
2546,99205.9,
2728,97195.3,
2909,92463.6,
3091,95542.2,
3273,95174.2,
3455,95377.5,
3637,95825.5,
3819,94775.9,
4001,97463.5,
4183,98401.4,
4364,99218.3,
4546,95645.9,
4728,97133.5,
4910,98024,
5092,90312.4,
5274,101260,
