,,,,
,,,,
ARR_DATA(I),"Integral(10.208140,9.358917)",,,
0.000,1.61567,,,
65.000,3.52065,,,
374.000,3.24668,,,
553.000,4.12822,,,
732.000,3.58276,,,
911.000,767.914,,,
1090.000,551.314,,,
1269.000,555.057,,,
1449.000,790.881,,,
1628.000,781.093,,,
1807.000,889.756,,,
1986.000,1116.77,,,
2165.000,1106.94,,,
2343.000,1642.69,,,
2523.000,904.316,,,
2702.000,2023.06,,,
2881.000,2145.54,,,
3060.000,2084.48,,,
3239.000,2092.22,,,
3418.000,2465.45,,,
3597.000,2621.12,,,
3776.000,2833.35,,,
3955.000,2899.76,,,
4134.000,3068.08,,,
4313.000,3140.51,,,
4492.000,3227.73,,,
4671.000,3335.93,,,
4850.000,3417.32,,,
5029.000,3263.58,,,
5208.000,3359.68,,,
5388.000,3820.2,,,
5566.000,3770.17,,,
5745.000,3871.6,,,
5924.000,4094.71,,,
6103.000,3986.56,,,
6283.000,4042.46,,,
6461.000,4097.19,,,
6640.000,3968.79,,,
6819.000,4242.15,,,
6998.000,4306.84,,,
7180.000,4607.17,,,
7359.000,3959.73,,,
7538.000,4440.41,,,
7717.000,4789.28,,,
7896.000,4393.37,,,
8075.000,4336.9,,,
8254.000,4779.62,,,
8433.000,4960.58,,,
8612.000,4672.7,,,
8791.000,4610.93,,,
8970.000,4938.95,,,
9149.000,4550.26,,,
9327.000,5166.05,,,
9506.000,4827.37,,,
9685.000,5268.47,,,
9864.000,5213.16,,,
10043.000,5210.82,,,
10222.000,5100.46,,,
10401.000,5245.74,,,
10580.000,5312.06,,,
