-5.958448,0.678898,-0.652796,3.541628,-0.153838,-2.534188
-0.415904,-0.196596,-0.011543,0.780619,0.241768,0.397631
2.626518,0.050040,0.275969,-1.812116,-0.535466,0.602963
0.058856,-0.057406,0.142469,-0.290285,-0.061035,-0.208254
7.636051,-0.163586,-1.964093,-6.153503,3.528069,2.880148
-8.288520,1.167437,-0.000193,9.725486,-1.260915,1.350226
-7.676429,0.211511,2.811556,2.489514,1.766956,-0.417709
7.288316,-0.592982,-0.337121,-3.138333,0.397987,3.622494
-0.211684,-0.242982,-1.187121,-3.638333,-0.002013,-5.327506
8.888316,-0.542982,-1.287121,-5.438333,-0.902013,0.772494
21.324714,-0.956454,-22.233224,-3.502695,0.536190,-4.844159
-9.959067,-0.427658,24.957010,4.732296,-5.886206,13.417470
-11.365647,1.384113,-2.723787,-1.229601,5.350017,-8.573311
16.297245,0.160525,-13.341416,-0.256486,2.333557,5.209349
2.428001,-1.529918,10.449953,-18.756274,5.259834,-2.165744
-0.633105,1.559716,-18.110789,5.185833,-3.407120,-15.299904
-5.833105,1.359716,-12.710789,30.785833,-4.107120,9.400096
-12.259035,-1.550040,33.713039,-16.958905,-0.079151,2.856203
