,,,,,,
#,X(I),Y(X),,,,
Model,ARR_DATA(I),"Integral(6.008,4.988)",,,,
1,0.000,3521.077,,,,
2,182.000,6628.662,,,,
3,363.000,8632.076,,,,
4,545.000,10310.213,,,,
5,727.000,16134.375,,,,
6,909.000,12964.488,,,,
7,1091.000,15700.357,,,,
8,1273.000,16366.165,,,,
9,1455.000,18382.372,,,,
10,1637.000,34109.436,,,,
11,1818.000,27602.355,,,,
12,2000.000,27611.593,,,,
13,2182.000,35484.967,,,,
14,2364.000,34811.790,,,,
15,2546.000,56223.833,,,,
16,2728.000,42186.360,,,,
17,2910.000,69497.515,,,,
18,3092.000,74119.712,,,,
19,3274.000,79909.566,,,,
20,3455.000,56105.247,,,,
21,3637.000,73744.169,,,,
22,3819.000,70507.999,,,,
23,4001.000,59455.554,,,,
24,4183.000,74375.466,,,,
25,4365.000,64911.962,,,,
26,4547.000,74684.489,,,,
27,4729.000,77779.838,,,,
28,4910.000,65474.370,,,,
29,5092.000,70187.540,,,,
30,5274.000,74176.214,,,,
