,,,,,,
#,X(I),Y(X),,,,
Model,ARR_DATA(I),"Integral(6.007,4.991)",,,,
1,0.000,3885.330,,,,
2,181.000,4892.899,,,,
3,363.000,6684.317,,,,
4,545.000,8208.853,,,,
5,727.000,11058.875,,,,
6,909.000,9551.352,,,,
7,1091.000,13182.448,,,,
8,1273.000,17013.494,,,,
9,1455.000,15609.669,,,,
10,1636.000,38894.299,,,,
11,1818.000,24249.211,,,,
12,2000.000,26610.409,,,,
13,2182.000,29162.591,,,,
14,2364.000,30362.235,,,,
15,2546.000,31845.216,,,,
16,2728.000,36431.542,,,,
17,2910.000,39859.630,,,,
18,3091.000,33886.160,,,,
19,3273.000,42552.138,,,,
20,3455.000,46030.878,,,,
21,3637.000,47176.033,,,,
22,3819.000,49793.909,,,,
23,4001.000,52524.715,,,,
24,4183.000,53130.994,,,,
25,4364.000,56033.762,,,,
26,4546.000,60426.265,,,,
27,4728.000,59658.466,,,,
28,4910.000,56270.928,,,,
29,5092.000,64627.552,,,,
30,5274.000,68866.189,,,,
31,5456.000,68665.520,,,,
32,5638.000,68736.953,,,,
33,5819.000,80250.560,,,,
34,6001.000,74767.100,,,,
35,6183.000,74393.247,,,,
36,6365.000,79203.166,,,,
37,6547.000,62785.277,,,,
38,6729.000,81200.478,,,,
39,6911.000,72073.396,,,,
40,7093.000,85645.995,,,,
